Localidade @ gentilico;   gentilico; gentilico,,,,,,
Abecásia @  abecásio; abecázio; abcázio ; abcásio,,,,,,Fonte:
Brabante @  brabanção,,,,,,
Belize @  belizenho  ; belizense,,,,,,
Benim @  beninense; beninês,,,,,,
Bermudas @  bermudense ; bermudês,,,,,,
Bielorrússia @  bielorrusso; bielo-russo; belarusso ; russo-branco,,,,,,
Bolívia @  boliviano  ,,,,,,
La Paz @  pacenho,,,,,,
Bósnia e Herzegovina @  bósnio   ; bosnense; bosníaco; bosniense; bosniano,,,,,,
Herzegovina @  herzegovino; herzegóvino,,,,,,
Botsuana @  botsuanês; botsuano; botsuanense; bechuano; bexuano; bechuana; bexuana; botswanês; botswano; botswanense ,,,,,,
Brasil @  brasileiro   ; brasiliano  ; brasilense; brasílico; brasiliense; brasílio; brasilês; brasilista,,,,,,
Brunei @  bruneano; bruneíno,,,,,,
Bulgária @  búlgaro  ; bulgarês,,,,,,
Burkina Fasso @  burquinense   ; burquino; burquinês; burkinense; burquinabê,,,,,,
Burundi @  burundiano; burúndio; burundiense; burundinês,,,,,,
Butão @  butanês; butâni; butani; butanense; butânico,,,,,,
Cabo Verde @  cabo-verdiano   ; cabo-verdense; cabo-verde,,,,,,
Santiago @  santiaguense,,,,,,
Santo Antão @  santo-antoniense,,,,,,
São Nicolau @  são-nicolauense,,,,,,
São Vicente @  são-vicentino,,,,,,
Caimão; Ilhas @  caimanês,,,,,,
Camarões @  camaronês; camaronense; camerunês  ; camerunense  ; cameruniano  ,,,,,,
Camboja @  cambojano   ; cambodjano (apenas em português brasileiro); cambojiano; campucheano,,,,,,
Canadá @  canadense; canadiano; canadiense,,,,,,
Quebec @  quebequense,,,,,,
Caribe@  caribenho,,,,,,
Catar @  catariano   ; catarense; catari,,,,,,
Cáucaso @  caucasiano,,,,,,
Cazaquistão @  cazaque   ; cazaquistanês; casaco; casáquio; casaquistano,,,,,,
Centro-Africana; República @  centro-africano   ; centrafricano,,,,,,
Chade @  chadiano   ; chadiense; tchadiano (apenas no português brasileiro); tchadiense (apenas no português brasileiro),,,,,,
República Tcheca @  checo ; tcheco (apenas em português brasileiro),,,,,,
Boêmia  @  boêmio (pt-BR); boémio (pt-PT),,,,,,
Morávia @  moraviano,,,,,,
Praga @  praguense,,,,,,
Silésia @  silesiano,,,,,,
Chile @  chileno,,,,,,
Antofagasta @  antofagastino,,,,,,
Arica @  ariquenho,,,,,,
Calama @  calamenho; loíno,,,,,,
Chiloé; Ilha de @  chilote; chiloense,,,,,,
Concepción @  penquista; concepcionense,,,,,,
Mejillones @  mejilhonino; mexilhonino,,,,,,
Ilha de Páscoa @  pascoense,,,,,,
Pica @  piquenho,,,,,,
Punta Arenas @  puntarenense,,,,,,
Santiago @  santiaguino,,,,,,
Tocopilla @  tocopilhano,,,,,,
Valparaíso @  portenho,,,,,,
Viña del Mar @  vinhamarino,,,,,,
China @  chinês; china; chim; chino; chinoca (depreciativo); sínico; sino,,,,,,
Cantão @  cantonês,,,,,,
Hong Kong @  honconguês,,,,,,
Macau @  macaense; macaísta; macauense; macau,,,,,,
Manchúria @  manchu,,,,,,
Pequim @  pequinês,,,,,,
Tibete @  tibetano,,,,,,
Xangai @  xangaiense,,,,,,
Chipre @  cipriota   ; cíprio; cíprico; cipríaco; ciprino; chiprense; cipreno,,,,,,
Chipre do Norte @  norte-cipriota; cipriota turco; norte-cíprio; cíprio turco; norte-cíprico; cíprico turco; norte-ciprino; ciprino turco; norte-chiprense; chiprense turco,,,,,,
Cocos (Keeling) Ilhas @  coquense ,,,,,,
Colômbia @  colombiano   ; colombino; colombo,,,,,,
Antioquia @  antioquenho,,,,,,
Atlántico @  atlanticense,,,,,,
Bogotá @  bogotano,,,,,,
Cali @  calenho,,,,,,
Cartagena das Índias @  cartageneiro,,,,,,
Departamento de Córdoba @  cordobense,,,,,,
Departamento de Guajira @  guajiro,,,,,,
Departamento de Santander @  santanderiano,,,,,,
Medellín @  medelhinense,,,,,,
Quindío @  quindiano,,,,,,
San Andrés; Providencia @  sanandresano,,,,,,
Comores @  comorense; comoriano  ,,,,,,
Congo-Brazzaville @  congolês; congolense; conguês; conguense; congo,,,,,,
Congo-Kinshasa @  congolês; congolense; conguês; conguense; congo,,,,,,
Cook; Ilhas @  cookense,,,,,,
Coreia do Norte @  norte-coreano,,,,,,
Coreia do Sul @  sul-coreano,,,,,,
Costa do Marfim @  costa-marfinense  ; marfinense  ; ebúrneo  ; marfiniano; costa-marfiniano,,,,,,
Costa Rica @  costa-riquenho; costa-riquense; costarriquenho; costarriquense; costa-ricense; costarricense,,,,,,
Croácia @  croata   ; croácio ; croaciano,,,,,,
Dalmácia @  dálmata,,,,,,
Zagreb @  zagrebino,,,,,,
Cuba @  cubano  ,,,,,,
Província de Guantánamo @  guantanameiro,,,,,,
Havana @  havanês; havaneiro,,,,,,
Juventude; Ilha da @  pinheiro,,,,,,
Santiago de Cuba @  santiagueiro,,,,,,
Curaçau @  curaçauense ,,,,,,
Curdistão @  curdo,,,,,,
Dinamarca @  dinamarquês   ; danês; dânio ; dano,,,,,,
Zelândia @  zelandês,,,,,,
Djib;ti @  djibutiense; jibutiense; djibutiano; jibutiano,,,,,,
Dominica @  dominiquês; dominiquense,,,,,,
Dominicana; República @  dominicano   ; domínico,,,,,,
Egito @  egípcio   ; egipciano; egipcíaco; egiptano; egiptanense; egipcião; egíptico; egiptino,,,,,,
El Salvador @  salvadorenho   ; salvatoriano,,,,,,
Emirados Árabes Unidos @  árabe  ; emiradense  ; emirático ,,,,,,
Equador @  equatoriano  ,,,,,,
Quito @  quitenho,,,,,,
Zamora-Chinchipe @  zamorano-chinchipense,,,,,,
Eritreia @  eritreu  ,,,,,,
Escandinávia @  escandinavo,,,,,,
Eslováquia @  eslovaco   ; eslováquio,,,,,,
Eslovênia@  esloveno ; eslovénico (português europeu) ; eslovênico (português brasileiro),,,,,,
Espanha @  espanhol; hispânico; hispaniense ; hispano,,,,,,
Estados Unidos @  norte-americano; americano; estadunidense; estado-unidense; ianque; yankee; americano do norte,,,,,,
Alasca @  alasquiano ; alasquense,,,,,,
Boston @  bostoniano,,,,,,
Califórnia @  californiano,,,,,,
Chicago @  chicagüense,,,,,,
Flórida @  floridense,,,,,,
Geórgia @  georgiano,,,,,,
Havaí @  havaiano; hauaiano,,,,,,
Hollywood @  hollywoodiano,,,,,,
Los Angeles @  angelino,,,,,,
Michigan @  michigânder,,,,,,
Nova Iorque @  nova-iorquino,,,,,,
Nova Orleans @  orleniano,,,,,,
Seattle @  seattleíta,,,,,,
Texas @  texano,,,,,,
Washington; DC @  washingtoniano,,,,,,
Washington; Estado de @  washingtoniano,,,,,,
Estônia  @  estoniano  ; estónio (português europeu) ; estônio (português brasileiro); estónico (português europeu) ; estônico (português brasileiro),,,,,,
Etiópia @  etíope   ; etiopiano; etiópico; etiópio; etiopês,,,,,,
Abissínia @  abissínio ; abexim,,,,,,
Axum @  axumita,,,,,,
Europa @  europeu,,,,,,
Féroe / Faroé; Ilhas @  feroês  ; feroico  ; faroense ,,,,,,
Fiji @  fijiano   ; fidjiano,,,,,,
Filipinas @  filipino   ; tagalo; tagal; tagalar,,,,,,
Finlândia @  finlandês   ; fino; finês; finense ; fínico,,,,,,
Alanda @  alandês ,,,,,,
França @  francês   ; franciú; franco; gaulês; gálio; gaulo; galo; galicano; gálico,,,,,,
Alsácia @  alsaciano,,,,,,
Borgonha @  borgonhês,,,,,,
Bretanha @  bretão,,,,,,
Córsega @  corso,,,,,,
Gasconha @  gascão,,,,,,
Lyon @  lionês; lionense,,,,,,
Marselha @  marselhês,,,,,,
Narbona @  narbonês; narbonense,,,,,,
Normandia @  normando,,,,,,
Paris @  parisiense,,,,,,
Picardia @  picardiano,,,,,,
Provença @  provençal,,,,,,
Gabão @  gabonense; gabonês,,,,,,
Gália @  gaulês,,,,,,
Gâmbia @  gambiano; gambiense,,,,,,
Gana @  ganense; ganês,,,,,,
Geórgia @  georgiano; geórgico; gruzínio; gruzínico; grúzico ; grúzio,,,,,,
Granada @  granadino  ,,,,,,
Grécia @  grego   ; greciano; grecânico; heleno; helénico (português europeu) ; helênico (português brasileiro); helene; gregório; aqueu; romaico,,,,,,
Argos @  argivo,,,,,,
Atenas @  ateniense,,,,,,
Creta @  cretense,,,,,,
Corinto @  coríntio,,,,,,
Esparta @  espartano; lacedemônio,,,,,,
Micenas @  micênico,,,,,,
Olímpia @  olímpico,,,,,,
Tebas @  tebano,,,,,,
Tessalônica @  tessalônico; salônico,,,,,,
Groenlândia  @  groenlandês (português brasileiro) ; gronelandês (português europeu),,,,,,
Guadalupe @  guadalupino; guadalupense,,,,,,
Guam @  guamês,,,,,,
Guatemala @  guatemalteco   ; guatemalense; guatemaltense,,,,,,
Guérnesei @  guernesiano ,,,,,,
Guiana @  guianense; guianês; guiano,,,,,,
Guiana Francesa @  guianense; guianês; guiano,,,,,,
Guiné @  guineano; guineense; guinéu,,,,,,
Guiné-Bissau @  guineense; guinéu,,,,,,
Guiné Equatorial @  guinéu-equatoriano; equato-guineense; guineense; guinéu,,,,,,
Haiti @  haitiano  ,,,,,,
Honduras @  hondurenho  ,,,,,,
Tegucigalpa @  tegucigalpenho,,,,,,
Hungria @  húngaro   ; magiar; madgiar; hungarês; ; hungárico,,,,,,
Iémen @  iemenita   ; ieménico (português europeu) ; iemênico (português brasileiro); iemenense; iemenês,,,,,,
Socotorá @  socotorino,,,,,,
Índia @  indiano; índio; índico; indiático; hindu; hindustâni; hindustani,,,,,,
Damão @  damanense,,,,,,
Diu @  diuense; diense; dioense,,,,,,
Goa @  goês; goense; goano,,,,,,
Indochina @  indochinês,,,,,,
Indonésia @  indonésio,,,,,,
Java @  javanês; jau,,,,,,
Bali @  balinês,,,,,,
Irã @  iraniano; irânico; irânio,,,,,,
Pérsia @  persa; pérsio; pérsico; persiano; pérseo; párseo; pársio,,,,,,
Iraque @  iraquiano; iraquenho; iraquense,,,,,,
Bagdá @  bagdali,,,,,,
Irlanda @  irlandês; hibérnico; hibérnio; hiérnio; erino; eirense,,,,,,
Islândia @  islandês; islandense; islândico,,,,,,
Israel @  israelense ; israelita ; israeliano; israelítico,,,,,,
Jerusalém @  hierosolimita; hierosolimitano,,,,,,
Nazaré @  nazareno,,,,,,
Itália @  italiano; ítalo; itálico ; italiota,,,,,,
Jamaica @  jamaicano   ; jamaicense,,,,,,
Japão @  japonês; japonense; japão; japônico (português brasileiro) ; japónico (português europeu); nipônico (português brasileiro) ; nipónico (português europeu); niponense; nipão; japona (depreciativo); nipo,,,,,,
Jérsia @  jersiano ,,,,,,
Jordânia @  jordano; jordânico; jordaniano ,,,,,,
Kosovo @  cossovar  ; kossovar; kosovar; cosovano; cossovano,,,,,,
Kuwait @  kuwaitiano; koweitiano; coveitiano; cuwaitiano; kowaitiano; kuweitiano; cuvaiti; kuwaiti; cuaitiano; cuvaitiano; quaitiano; c;aitiano; kwaitiano,,,,,,
Laos @  laociano  ; laosiano  ; lausiano; lao  ; lau,,,,,,
Lapônia@  lapão,,,,,,
Lesoto @  lesotiano   ; lesotense  ; lesoto,,,,,,
Letônia @  letão   ; letónio (português europeu) ; letônio (português brasileiro); letónico (português europeu) ; letônico (português brasileiro); lético,,,,,,
Líbano @  libanês,,,,,,
Biblos @  giblita,,,,,,
Sídon @  sidônio,,,,,,
Tiro @  tírio,,,,,,
Libéria @  liberiano; libério,,,,,,
Líbia @  líbio; líbico,,,,,,
Trípoli @  tripolitano,,,,,,
Liechtenstein @  liechtensteinense; liechtensteiniense; listenstainiano; liechtensteiniano; listenstainense; listenstainiense; liechtensteinês; listenstainês; listenstaino,,,,,,
Lituânia @  lituano; lituânio ; lituânico,,,,,,
Luxemburgo @  luxemburguês  ,,,,,,
Macedônia (português brasileiro) ; Macedónia (português europeu) @  macedônio (português brasileiro) ; macedónio (português europeu); macedônico (português brasileiro) ; macedónico (português europeu); macedoniano ; mácedo,,,,,,
Madagáscar @  malgaxe   ; madagascarense; malgaxo,,,,,,
Malásia @  malaio   ; malásio; malasiano; malaico,,,,,,
Malaui @  malauiano   ; malaviano; malawiano; malauiense; malaui; malawiense; malauista; malauita; malavita,,,,,,
Maldivas @  maldívio; maldivano; maldivense; maldiviano; maldivo  ,,,,,,
Mali @  maliano; malinês; malês,,,,,,
Malta @  maltês,,,,,,
Malvinas  @  malvinense; malvinês; malvino; falklandês ,,,,,,
Man; Ilha de @  manês  ; manquês ; manx,,,,,,
Marianas do Norte @  norte-marianense,,,,,,
Marrocos @  marroquino,,,,,,
Marshall; Ilhas @  marshallino; marshallês; marechalês; marechaliniano,,,,,,
Martinica @  martinicano,,,,,,
Maurício @  mauriciano,,,,,,
Mauritânia @  mauritano; mauritânico; mauritaniano,,,,,,
Mayotte @  maiotense,,,,,,
Mediterrâneo @  mediterrânico; mediterrâneo,,,,,,
Melanésia @  melanésio,,,,,,
Mesopotâmia @  mesopotâmico,,,,,,
México @  mexicano  ,,,,,,
Aguascalientes @  hidrocálido,,,,,,
Guadalajara @  tapatio,,,,,,
México; Cidade do @  capitalino,,,,,,
Monterrey @  regiomontano; régio,,,,,,
Puebla @  poblano,,,,,,
Veracruz @  veracruzano,,,,,,
Mianmar @  birmanês; birmã; birmane; birmanense; birmaniano; birmano; bramá; mianmarense  ; bermá; bermã; bermano,,,,,,
Micronésia; Estados Federados da @  micronésio  ,,,,,,
Micronésia @  micronésio,,,,,,
Monserrate @  monserratense ,,,,,,
Moçambique @  moçambicano   ; moçambique; moçambiquense; moçambiquenho,,,,,,
Moldávia @  moldavo; moldávio; moldávico,,,,,,
Mônaco @  monegasco   ; monagasco,,,,,,
Mongólia @  mongol   ; mongólico; mongolino; mongolita; mogol; mogor; mogore,,,,,,
Montenegro @  montenegrino  ,,,,,,
Namíbia @  namibiano  ; namíbio ,,,,,,
Natal; Ilha do @  natalense ,,,,,,
Nauru @  nauruano   ; nauruense,,,,,,
Nepal @  nepalês   ; nepali,,,,,,
Nicarágua @  nicaraguense   ; nicaraguano,,,,,,
Manágua @  managuenho; managuense,,,,,,
Níger @  nigerense; nigerino  ,,,,,,
Nigéria @  nigeriano   ; nigerino,,,,,,
Nínive @  ninivita,,,,,,
Niue @  niueano  ; niuiano ,,,,,,
Norfolk @  norfolquino; norfolkino,,,,,,
Noruega @  norueguês; norueguense; noruego,,,,,,
Esvalbarda @  esvalbardense; svalbardense ,,,,,,
Nova Caledônia @  neocaledônio (português brasileiro) ; neocaledónio (português europeu),,,,,,
Nova Zelândia @  neozelandês   ; neozelandense; neozelandiense,,,,,,
Wellington @  wellingtoniano,,,,,,
Núbia @  núbio,,,,,,
Kerma @  quermano,,,,,,
Meroé @  meroíta; meroítico,,,,,,
Napata @  napatense,,,,,,
Oceânia @  oceânico,,,,,,
Omã @  omani  ; omanense  ; omaniano,,,,,,
Ossétia do Sul @  sul-osseta,,,,,,
Países Baixos @  neerlandês; nederlandês; holandês  ; batávico; batávio ; batavo,,,,,,
Holanda (região) @  holandês,,,,,,
Frísia @  frísio; frisão,,,,,,
Zelândia @  zelandês,,,,,,
Antilhas Holandesas @  antilhano,,,,,,
Palau @  palauano   ; palauense,,,,,,
Palestina @  palestino; palestiniano; palestinense,,,,,,
Belém @  belemita; belenense,,,,,,
Gaza @  gazita ; gazeu,,,,,,
Panamá @  panamenho   ; panamista; panamense; panamiano; panamaense,,,,,,
Papua Nova Guiné @  papuásio; papua  ,,,,,,
Paquistão @  paquistanês; paquistanense; paquistânico; paquistani,,,,,,
Paraguai @  paraguaio   ; paraguaiano,,,,,,
Assunção @  assuncionenho,,,,,,
Peru @  peruano   ; peruviano; perúvio,,,,,,
Abancay @  abancaino,,,,,,
Lima @  limenho,,,,,,
Cusco @  cusquenho,,,,,,
Pitcairn @  pitcairnês ,,,,,,
Polinésia @  polinésio; polinésico,,,,,,
Polinésia Francesa @  polinésio; polinésico,,,,,,
Taiti @  taitiano,,,,,,
Polônia @  polonês (mais comum em português brasileiro); polaco (mais comum em português europeu); polónio (português europeu) ; polônio (português brasileiro); polónico (português europeu) ; polônico (português brasileiro); polono,,,,,,
Varsóvia @  varsoviano,,,,,,
Porto Rico @  porto-riquenho; porto-riquense,,,,,,
Portugal @  português; portucalense; portugalense; portugalês; lusitano; luso; lusitânico; lusitaniano; lusíada; portuga; tuga,,,,,,
Prússia @  prussiano,,,,,,
Quênia (português brasileiro) ; Quénia (português europeu) @  queniano  ,,,,,,
Quirguistão @  quirguiz   ; quirguize; quirguistanês; quirguizistanês,,,,,,
Quiribáti @  quiribatiano   ; kiribatiano; kiribatino,,,,,,
Reino Unido @  britânico; bretão; britano ; bife (depreciativo),,,,,,
Cornualha @  cornualês; córnico,,,,,,
Grã-Bretanha @  grã-bretão; britânico,,,,,,
Escócia @  escocês,,,,,,
Inglaterra @  inglês; anglo; anglicano; ânglico,,,,,,
Irlanda do Norte @  irlândes; norte-irlandês,,,,,,
Liverpool @  liverpuldiano,,,,,,
Londres @  londrino,,,,,,
Manchester @  mancuniano,,,,,,
País de Gales @  galês; galense; grã-bretão; britânico,,,,,,
Reunião @  reunionense ,,,,,,
Romênia @  romeno; roménico (português europeu) ; romênico (português brasileiro); romenho,,,,,,
Transilvânia @  transilvano,,,,,,
Ruanda @  ruandês   ; ruandense,,,,,,
Rússia @  russo   ; russiano,,,,,,
Adiguésia @  adigueu,,,,,,
Calmúquia @  calmuco,,,,,,
Carélia @  carélio,,,,,,
Chechênia @  checheno; tchetcheno,,,,,,
Daguestão @  daguestanês,,,,,,
Komi @  comi,,,,,,
Mari El @  mari,,,,,,
Mordóvia @  mordovo; mordóvio,,,,,,
Moscovo  @  moscovita,,,,,,
Ossétia do Norte-Alânia @  norte-osseta; osseta,,,,,,
Sibéria @  siberiano,,,,,,
Tartaristão @  tártaro,,,,,,
Salomão; Ilhas @  salomônico (português brasileiro) ; salomónico (português europeu); salomonense,,,,,,
Samoa @  samoano   ; samoense,,,,,,
Samoa Americana @  samoano   ; samoense,,,,,,
San Marino @  são-marinhense; são-marinense; samarinês    ; san-marinense,,,,,,
Santa Helena; Ascensão e Tristão da Cunha @  santa-helenense ,,,,,,
Santa Helena @  santa-helenense,,,,,,
Tristão da Cunha @  tristanita,,,,,,
Santa Lúcia @  santa-luciense  ; santa-lucense,,,,,,
São Bartolomeu @  são-bartolomeense ,,,,,,
São Cristóvão e Névis @  são-cristovense,,,,,,
São Martinho Francês @  são-martinhense ,,,,,,
São Martinho Neerlandês @  são-martinhense ,,,,,,
São Pedro e Miquelon @  são-pedrense ,,,,,,
São Tomé e Príncipe @  são-tomense; santomense; sã-tomense; forro,,,,,,
São Vicente; Granadinas @  são-vicentino ,,,,,,
Saara Ocidental/República Árabe Saarauí Democrática @  sarauí; sarauita; sariano; saariano; saarense; saárico; sarense; sárico; saraui  ; saarauí  ; saaraui  ,,,,,,
Seicheles @  seichelense   ; seychellense,,,,,,
Senegal @  senegalês   ; senegalense; senegalesco; senegálico; senegaliano,,,,,,
Serra Leoa @  serra-leonês; serra-leonense; serra-leonino,,,,,,
Sérvia @  sérvio ,,,,,,
Singapura @  cingapuriano; singapuriano; cingapurense; singapurense  ; singapurano  ; cingapurano; singapuriano; cingapurano; singapuriano; cingapuriano,,,,,,
Síria @  sírio; siríaco; siro; siriano,,,,,,
Damasco @  damasceno,,,,,,
Somália @  somali  ; somáli; somaliano  ; somaliense,,,,,,
Somalilândia @  somalilandês; somalilandense,,,,,,
Sri Lanka @  cingalês; cingalá; chingalá; ceilonense; singalês; singala; singalense; singalibense,,,,,,
Suazilândia @  suazi; suázi  ; suazilandês; suazilandense; suazilandiense,,,,,,
Sudão @  sudanês  ,,,,,,
Sudão do Sul @  sul-sudanês,,,,,,
Suécia @  sueco   ; suécio,,,,,,
Estocolmo @  holmiense ,,,,,,
Suíça @  suíço   ; helvécio; helvético; helveto; esguíçaro; esguízaro,,,,,,
Genebra @  genebrino,,,,,,
Suméria @  sumério,,,,,,
Suriname @  surinamês   ; surinamense,,,,,,
Tadjiquistão@  tajique   ; tadjique; tadjiquistanês; tajiquistanês,,,,,,
Tailândia @  tailandês  ; siamês; siamense; siame,,,,,,
Taiwan @  taiwanês  ; taiuanês; formosino    ; formosano; chinês,,,,,,
Tanzânia @  tanzaniano ,,,,,,
Zanzibar @  zanzibarita  ; zanzibar,,,,,,
Tchecoslováquia @  tchecoslovaco; checoslovaco,,,,,,
Timor-Leste @  timorense  ; timor; timorino; maubere,,,,,,
Togo @  togolês  ; toguês,,,,,,
Tonga @  tonganês  ,,,,,,
Toquelau @  toquelauano ,,,,,,
Trácia @  trácio,,,,,,
Transdniéstria @  transdniestriano; transdnístrio; transdnistriano; transnístrio; transnistriano,,,,,,
Trinidad e Tobago  @  trinitário   ; trinitário-tobagense,,,,,,
Tunísia @  tunisiano (português brasileiro); tunisino (português europeu); tunetano; tunesino,,,,,,
Cartago @  cartaginês; cartaginense; púnico,,,,,,
Tunes  @  tunisino,,,,,,
Turcas e Caicos; Ilhas @  turquês ,,,,,,
Turcomenistão @  turcomeno; turquemenistanês; turquemeno,,,,,,
Turquia @  turco; túrcico; turquesco; otomano; otomão; osmanli; osmandi; osmânico,,,,,,
Ancara @  angorá; ancarense ,,,,,,
Bizâncio @  bizantino,,,,,,
Mileto @  milésio,,,,,,
Troia @  troiano; teucro,,,,,,
Tuvalu @  tuvaluano   ; tuvalês,,,,,,
Ucrânia @  ucraniano  ; ucrânio,,,,,,
Crimeia @  crimeano,,,,,,
Uganda @  ugandense; ugandês,,,,,,
União Soviética @  soviético,,,,,,
Uruguai @  uruguaio   ; uruguaiano; oriental,,,,,,
Uzbequistão @  usbeque   ; uzbeque; uzbequistanês; usbequistanês,,,,,,
Vanuatu @  vanuatuense; vanuatense ,,,,,,
Vaticano @  vaticano ,,,,,,
Venezuela @  venezuelano; venezolano,,,,,,
Caracas @  caraquenho,,,,,,
Vietnã  @  vietnamita  ; vietnamês; vietnamense; vietnamiano; anamês; anamita,,,,,,
Virgens Americanas; Ilhas @  virginense ,,,,,,
Virgens Britânicas; Ilhas @  virginense ,,,,,,
Wallis e Futuna @  wallisense,,,,,,
Zaire @  zairense ,,,,,,
Zâmbia @  zambiano  ; zambiense; zâmbio,,,,,,
Zimbábue @  zimbabuano   ; zimbabuense  ; zimbabwense; zimbabwiano,,,,,,
