Localidade @ gentilico; gentilico,,,,,Fonte:
 Palmeira @ palmeirense,,,,,
 Palotina @ palotinense,,,,,
 Paranaguá @ parnaguara,,,,,
 Paranavaí @ paranavaiense,,,,,
 Paraíso do Norte @ paraisense-do-norte,,,,,
 Pato Branco @ pato-branquense,,,,,
 Pinhais @ pinhaiense,,,,,
 Pinhão @ pinhãoense,,,,,
 Piraí do Sul @ piraiense,,,,,
 Piraquara @ piraquarense,,,,,
 Pitanga @ pitanguense,,,,,
 Ponta Grossa @ ponta-grossense,,,,,
 Porecatu @ porecatuense,,,,,
 Primeiro de Maio @ primaiense,,,,,
 Prudentópolis @ prudentopolitano,,,,,
 Quatro Barras @ quatro-barrense,,,,,
 Quedas do Iguaçu @ quedense,,,,,
 Reserva @ reservense,,,,,
 Ribeirão Claro@ ribeirão-clarense,,,,,
 Ribeirão do Pinha @ ribero-pinhalense,,,,,
 Rio Branco do Sul @ rio-branquense,,,,,
 Rio Negro  @ rio-negrense,,,,,
 Rolândia @ rolandense,,,,,
 Salto do Lontra @ lontrense,,,,,
 São José dos Pinhais @ são-joseense,,,,,
 São Miguel do Iguaçu @ são-miguelense,,,,,
 Santa Izabel do Oeste @ isabelense,,,,,
 Santa Terezinha de Itaipu @ itaipuense,,,,,
 Santo Antônio da Platina @ platinense,,,,,
 Santo Antônio do Sudoeste @ santo-antoniense,,,,,
 São Mateus do Sul @ são-mateuense,,,,,
 Sarandi @ sarandiense,,,,,
 Sengés @ sengeano,,,,,
 Tapira  @ tapirense,,,,,
 Telêmaco Borba @ telêmaco-borbense,,,,,
 Tibagi @tibajiano,,,,,
 Toledo @ toledense ou toledano,,,,,
 Ubiratã @ ubiratanense,,,,,
 Umuarama @ umuaramense,,,,,
 União da Vitória @ união-vitoriense,,,,,
 Wenceslau Braz @ brasense,,,,,
,,,,,
Pernambuco,,,,,
Afogados da Ingazeira@afogadense,,,,,
Arcoverde@arco-verdense,,,,,
Bom Jardim@bom-jardinense,,,,,
Cabo de Santo Agostinho@cabense,,,,,
Camaragibe@camarajibense,,,,,
Camocim de São Félix@camocim-felicense,,,,,
Caruaru@caruaruense,,,,,
Escada@escadense,,,,,
Garanhuns@garanhuense,,,,,
Gravatá@gravataense,,,,,
Ipojuca@ipojuquense,,,,,
Itaíba@itaibense,,,,,
Jaboatão dos Guararapes@jaboatonense,,,,,
Limoeiro@limoeirense,,,,,
Moreno@morenense,,,,,
Olinda@olindense,,,,,
Paulista@paulistense,,,,,
Pesqueira@pesqueirense,,,,,
Petrolina@petrolinense,,,,,
Recife @ recifense,,,,,
Salgueiro@salgueirense,,,,,
Santa Cruz do Capibaribe@santa-cruzense,,,,,
São Vicente Férrer@vicentino,,,,,
Serra Talhada@serra-talhadense,,,,,
Tabira@tabirense,,,,,
Xexéu@xexeuense,,,,,
,,,,,
Piaui,,,,,
Alto Longá@alto-longaense,,,,,
Altos@altoense,,,,,
Amarante@amarantino,,,,,
Canto do Buriti@canto-buritiense,,,,,
José de Freitas@josé-de-freitense,,,,,
Luís Correia @luís-correiense,,,,,
Manoel Emídio@manuel-emidiano,,,,,
Parnaíba@parnaibano,,,,,
Picos@picoense,,,,,
São João do Piauí@são-joanense,,,,,
São Pedro do Piauí@são-pedrense,,,,,
São Raimundo Nonato@são-raimundense,,,,,
Oeiras@oeirense,,,,,
Teresina@ teresinense,,,,,
Uruçuí@uruçuiense,,,,,
