Localidade@gentílico; gentilico,,,,Fonte:
Itabaiana@itabaianense,,,,
Itaporanga d'Ajuda@itaporanguense,,,,
Japoatã@japoatãense,,,,
Lagarto@lagartense,,,,
Laranjeiras@laranjeirense,,,,
Neópolis@neopolitano,,,,
Nossa Senhora das Dores@dorense,,,,
,,,,
Tocantins,,,,
Abreulândia@abreulandense,,,,
Aguiarnópolis@aguiarnopolense,,,,
Aliança do Tocantins@aliancense,,,,
Almas@almense,,,,
Alvorada@alvoradense,,,,
Ananás@ananaense,,,,
Angico@angicoense; angiquense,,,,
Aparecida do Rio Negro@aparecidense,,,,
Aragominas@aragominense,,,,
Araguacema@araguacemense,,,,
Araguaçu@araguaçuense,,,,
Araguaína@araguainense,,,,
Araguanã@araguanãense,,,,
Araguatins@araguatinense,,,,
Arapoema@arapoemense,,,,
Arraias@arraiano,,,,
Augustinópolis@augustinopolino,,,,
Aurora do Tocantins@aurorense,,,,
Axixá do Tocantins@axixaense,,,,
Darcinópolis@darcinopolino,,,,
Dianópolis@dianopolino; dianopolitano,,,,
Divinópolis do Tocantins@divinopolino; divinopolitano,,,,
Dois Irmãos do Tocantins@dois-irmanense,,,,
Dueré@duereense,,,,
Esperantina@esperantinense,,,,
Fátima@fatimense,,,,
Figueirópolis@figueiropolense; figueiropolino,,,,
Filadélfia@filadelfiense,,,,
Formoso do Araguaia@formosense,,,,
Gurupi@gurupiense,,,,
Itacajá@itacajense,,,,
Miracema do Tocantins@miracemense,,,,
Palmas@ palmense,,,,
Palmeirópolis@palmeiropolitano,,,,
Paraíso do Tocantins@paraisense,,,,
Pedro Afonso @pedro-afonsino,,,,
Porto Nacional@portuense,,,,
Taguatinga@taguatinguense,,,,
